[2026-09-17T16:44:13.920Z] GET https://www.varaexpo.mv/ → pending (?ms, ?B)
[2026-09-17T16:44:14.366Z] GET https://cdn.tailwindcss.com/ → 302 (113ms, ?B)
[2026-09-17T16:44:14.366Z] GET https://rsms.me/inter/inter.css → 200 (109ms, 2026B)
[2026-09-17T16:44:14.366Z] GET https://www.varaexpo.mv/index.css → 404 (32ms, ?B)
[2026-09-17T16:44:14.366Z] GET https://www.varaexpo.mv/assets/index-TtofaRjP.js → 200 (126ms, 157006B)
[2026-09-17T16:44:14.479Z] GET https://cdn.tailwindcss.com/3.4.17 → 200 (118ms, 126963B)
[2026-09-17T16:44:14.709Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/storage/v1/object/public/site-assets/hero_video_poster.jpg → pending (?ms, ?B)
[2026-09-17T16:44:14.723Z] GET https://rsms.me/inter/font-files/Inter-Regular.woff2?v=4.1 → 200 (160ms, 112043B)
[2026-09-17T16:44:14.724Z] GET https://rsms.me/inter/font-files/Inter-Bold.woff2?v=4.1 → 200 (144ms, 115649B)
[2026-09-17T16:44:14.724Z] GET https://rsms.me/inter/font-files/Inter-ExtraBold.woff2?v=4.1 → 200 (159ms, 115623B)
[2026-09-17T16:44:14.724Z] GET https://rsms.me/inter/font-files/Inter-SemiBold.woff2?v=4.1 → 200 (160ms, 115590B)
[2026-09-17T16:44:14.727Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/storage/v1/object/public/site-assets/logo_light.png → pending (?ms, ?B)
[2026-09-17T16:44:14.727Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/storage/v1/object/public/site-assets/icon_empower.png → pending (?ms, ?B)
[2026-09-17T16:44:14.727Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/storage/v1/object/public/site-assets/icon_innovation.png → pending (?ms, ?B)
[2026-09-17T16:44:14.728Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/storage/v1/object/public/site-assets/icon_connections.png → pending (?ms, ?B)
[2026-09-17T16:44:14.728Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/storage/v1/object/public/site-assets/footer_watermark.png → pending (?ms, ?B)
[2026-09-17T16:44:14.729Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/storage/v1/object/public/site-assets/hero_video.mp4 → pending (?ms, ?B)
[2026-09-17T16:44:14.735Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/rest/v1/news_articles?select=*&order=date.desc → pending (?ms, ?B)
[2026-09-17T16:44:14.735Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/rest/v1/exhibitors?select=* → pending (?ms, ?B)
[2026-09-17T16:44:14.735Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/rest/v1/sponsors?select=* → pending (?ms, ?B)
[2026-09-17T16:44:14.735Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/rest/v1/testimonials?select=*&order=display_order.asc → pending (?ms, ?B)
[2026-09-17T16:44:14.735Z] GET https://ufjxxuzebebsoczqpmut.supabase.co/rest/v1/site_assets?select=key%2Curl → pending (?ms, ?B)
[2026-09-17T16:44:15.908Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.9156323436168038.png → pending (?ms, ?B)
[2026-09-17T16:44:15.908Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.05661833990895737.png → pending (?ms, ?B)
[2026-09-17T16:44:15.908Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.26027144181612494.png → pending (?ms, ?B)
[2026-09-17T16:44:15.908Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.4847365201832692.png → pending (?ms, ?B)
[2026-09-17T16:44:15.908Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.8671769957415082.png → pending (?ms, ?B)
[2026-09-17T16:44:15.908Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.0511666031275686.png → pending (?ms, ?B)
[2026-09-17T16:44:16.016Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.37402261242954804.png → pending (?ms, ?B)
[2026-09-17T16:44:16.016Z] GET https://hdccdn.blob.core.windows.net/brand/hdc/HDCLOGO-01.png → pending (?ms, ?B)
[2026-09-17T16:44:16.016Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.16921985134931872.png → pending (?ms, ?B)
[2026-09-17T16:44:16.016Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.28238991379026435.png → pending (?ms, ?B)
[2026-09-17T16:44:16.016Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/1759916039560_logo.png → pending (?ms, ?B)
[2026-09-17T16:44:16.016Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.29244779714815927.png → pending (?ms, ?B)
[2026-09-17T16:44:16.016Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/1758452599632_MIRA_logo.png → pending (?ms, ?B)
[2026-09-17T16:44:16.016Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/1758361654511_Ministry_logo.png → pending (?ms, ?B)
[2026-09-17T16:44:16.016Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.05890321099830387.png → pending (?ms, ?B)
[2026-09-17T16:44:16.017Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/0.09676224969008695.png → pending (?ms, ?B)
[2026-09-17T16:44:16.017Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/1758616234847_Screenshot_2025_09_23_132900.png → pending (?ms, ?B)
[2026-09-17T16:44:16.017Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/1758617577349_Cyryx_Logo.png → pending (?ms, ?B)
[2026-09-17T16:44:16.017Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/1758542751988_logo.jpg → pending (?ms, ?B)
[2026-09-17T16:44:16.017Z] GET https://wxjqgufljgcfbojdaebj.supabase.co/storage/v1/object/public/exhibitor-logos/1758624781418_Asset_9.png → pending (?ms, ?B)
